
import pandas as pd

def generate_recipe_csv(recipe_id, recipe_name, chef_name, cuisine_type, prep_time_minutes, cook_time_minutes, difficulty_level, ingredient_list, ingredient_quantities, ingredient_units, step_descriptions, step_timers, servings, vegetarian, allergen_warnings, rating_average, review_count):
    recipe_data = {
        'recipe_id': [recipe_id],
        'recipe_name': [recipe_name],
        'chef_name': [chef_name],
        'cuisine_type': [cuisine_type],
        'prep_time_minutes': [prep_time_minutes],
        'cook_time_minutes': [cook_time_minutes],
        'difficulty_level': [difficulty_level],
        'ingredient_list': [ingredient_list],
        'ingredient_quantities': [ingredient_quantities],
        'ingredient_units': [ingredient_units],
        'step_descriptions': [step_descriptions],
        'step_timers': [step_timers],
        'servings': [servings],
        'vegetarian': [vegetarian],
        'allergen_warnings': [allergen_warnings],
        'rating_average': [rating_average],
        'review_count': [review_count]
    }
    recipe_df = pd.DataFrame(recipe_data)
    return recipe_df.to_csv(index=False)
