
import pandas as pd

def generate_hero_profile(character_name, species, origin_planet, age, primary_ability, secondary_ability, team_affiliation, nemesis, first_appearance_year, signature_gadget, mission_count, is_active, catchphrase, sidekick_name, sidekick_species):
    hero_profile = pd.DataFrame({
        'character_name': [character_name],
        'species': [species],
        'origin_planet': [origin_planet],
        'age': [age],
        'primary_ability': [primary_ability],
        'secondary_ability': [secondary_ability],
        'team_affiliation': [team_affiliation],
        'nemesis': [nemesis],
        'first_appearance_year': [first_appearance_year],
        'signature_gadget': [signature_gadget],
        'mission_count': [mission_count],
        'is_active': [is_active],
        'catchphrase': [catchphrase],
        'sidekick_name': [sidekick_name],
        'sidekick_species': [sidekick_species]
    })
    return hero_profile

# Example usage:
hero_profile = generate_hero_profile(
    character_name="Zara Star",
    species="Human",
    origin_planet="Earth",
    age=30,
    primary_ability="Interstellar Travel",
    secondary_ability="Energy Manipulation",
    team_affiliation="Galactic Guardians",
    nemesis="Dark Nebula",
    first_appearance_year=2023,
    signature_gadget="Cosmic Compass",
    mission_count=15,
    is_active=True,
    catchphrase="Exploring the Unknown!",
    sidekick_name="Loki",
    sidekick_species="Alien"
)

print(hero_profile.to_csv(index=False))
