
import pandas as pd

def generate_artifact_catalog(artifact_id, artifact_name, origin_civilization, discovery_site, discovery_date, material_primary, material_secondary, dimensions_length_cm, dimensions_width_cm, dimensions_height_cm, estimated_age_years, current_condition, inscriptions_language, inscriptions_translation, inscriptions_meaning, display_status, museum_location):
    artifact_data = {
        'artifact_id': [artifact_id],
        'artifact_name': [artifact_name],
        'origin_civilization': [origin_civilization],
        'discovery_site': [discovery_site],
        'discovery_date': [discovery_date],
        'material.primary': [material_primary],
        'material.secondary': [material_secondary],
        'dimensions.length_cm': [dimensions_length_cm],
        'dimensions.width_cm': [dimensions_width_cm],
        'dimensions.height_cm': [dimensions_height_cm],
        'estimated_age_years': [estimated_age_years],
        'current_condition': [current_condition],
        'inscriptions.language': [inscriptions_language],
        'inscriptions.translation': [inscriptions_translation],
        'inscriptions.meaning': [inscriptions_meaning],
        'display_status': [display_status],
        'museum_location': [museum_location]
    }
    artifact_df = pd.DataFrame(artifact_data)
    return artifact_df.to_csv(index=False)
