
import pandas as pd

species_data = {
    "species_id": ["A1", "B2", "C3", "D4", "E5"],
    "species_name": ["Zorblatt", "Gorf", "Morkmork", "Zog", "Zogger"],
    "classification": ["Mammal", "Reptile", "Insect", "Bird", "Fish"],
    "habitat_type": ["Terrestrial", "Aquatic", "Aerial", "Aquatic", "Terrestrial"],
    "average_lifespan_years": [10, 20, 5, 15, 8],
    "discovery_date": ["2020-01-01", "2019-06-15", "2021-03-20", "2018-11-10", "2022-07-05"],
    "is_endangered": [True, False, False, True, True],
    "average_height_cm": [150, 200, 30, 100, 50],
    "diet": ["Carnivore", "Herbivore", "Omnivore", "Carnivore", "Omnivore"],
    "origin_planet": ["Zorblatt-3", "Gorf-7", "Morkmork-2", "Zog-4", "Zogger-1"],
    "notable_traits": ["Webbed feet", "Long tail", "Hard exoskeleton", "Strong beak", "Fins"],
    "first_observed_by": ["Team Alpha", "Dr. Smith", "Dr. Johnson", "Team Beta", "Dr. Lee"],
    "color_variations": ["Blue;Green", "Yellow;Orange", "Red;Black", "Green;Blue", "Blue;Red"],
    "reproduction_method": ["Viviparous", "Oviparous", "Ovoviviparous", "Oviparous", "Ovoviviparous"],
    "population_estimate": [10000, 5000, 20000, 8000, 15000]
}

df = pd.DataFrame(species_data)
df.to_csv("alien_species_data.csv", index=False)
