
import pandas as pd

# Define the artifact data
artifact_data = {
    "artifact_id": "A123",
    "artifact_name": "Ancient Pottery",
    "discovery": {
        "location": "Site X",
        "date_found": "2020-05-15",
        "team_leader": "Dr. Jane Smith"
    },
    "dimensions": {
        "height_cm": 15.5,
        "width_cm": 10.2,
        "depth_cm": 8.7
    },
    "material": {
        "primary": "clay",
        "secondary": "paint"
    },
    "estimated_age": {
        "years": 2000,
        "method": "potassium-argon dating"
    },
    "current_condition": {
        "status": "excellent",
        "last_inspection": "2022-01-10"
    },
    "exhibition_history": [
        {
            "museum": "Museum of Antiquities",
            "start_date": "2021-06-01",
            "end_date": "2022-05-31"
        }
    ]
}

# Create a DataFrame from the artifact data
artifact_df = pd.DataFrame([artifact_data])

# Convert the DataFrame to CSV format
csv_output = artifact_df.to_csv(index=False)

# Print the CSV output
print(csv_output)
