python
import csv
import uuid

def extract_creature_info(description):
    # Placeholder extraction logic
    # In a real scenario, use NLP techniques to parse the description
    creature_info = {
        'creature_id': str(uuid.uuid4()),
        'species_name': 'Unicorn',
        'habitat.region': 'Enchanted Forest',
        'habitat.climate': 'temperate',
        'habitat.elevation_range': '500m to 1500m',
        'features.size': '2 meters',
        'features.color_pattern': 'white with a golden horn',
        'features.average_lifespan_years': 300,
        'abilities[0].name': 'Healing',
        'abilities[0].description': 'Can heal wounds and cure diseases',
        'abilities[0].power_level': 8,
        'abilities[1].name': 'Invisibility',
        'abilities[1].description': 'Can become invisible at will',
        'abilities[1].power_level': 5,
        'diet.primary_foods': 'herbs, grasses, fruits'
    }
    return creature_info

def write_creature_to_csv(creature_info, filename='creatures.csv'):
    fieldnames = [
        'creature_id',
        'species_name',
        'habitat.region',
        'habitat.climate',
        'habitat.elevation_range',
        'features.size',
        'features.color_pattern',
        'features.average_lifespan_years',
        'abilities[0].name',
        'abilities[0].description',
        'abilities[0].power_level',
        'abilities[1].name',
        'abilities[1].description',
        'abilities[1].power_level',
        'diet.primary_foods'
    ]
    
    write_header = False
    try:
        with open(filename, 'r', newline='', encoding='utf-8') as csvfile:
            pass
    except FileNotFoundError:
        write_header = True

    with open(filename, 'a', newline='', encoding='utf-8') as csvfile:
        writer = csv.DictWriter(csvfile, fieldnames=fieldnames)
        if write_header:
            writer.writeheader()
        writer.writerow(creature_info)

# Example usage
description = "A majestic unicorn with a golden horn inhabits the enchanted forests..."
creature_info = extract_creature_info(description)
write_creature_to_csv(creature_info)
