python
import csv

# Define the CSV headers
headers = [
    'artifact_id',
    'artifact_name',
    'artifact_type',
    'origin_country',
    'origin_city',
    'era',
    'discovery_date',
    'material',
    'dimensions_height_cm',
    'dimensions_width_cm',
    'dimensions_depth_cm',
    'current_location_museum',
    'current_location_gallery',
    'condition',
    'estimated_value_usd',
    'notable_inscriptions',
    'related_figures'
]

# Example data
artifact = {
    'artifact_id': 'A12345',
    'artifact_name': 'Ancient Vase of Hermes',
    'artifact_type': 'vase',
    'origin_country': 'Greece',
    'origin_city': 'Athens',
    'era': 'Classical Period',
    'discovery_date': '2023-04-15',
    'material': 'terracotta',
    'dimensions_height_cm': 45.50,
    'dimensions_width_cm': 30.00,
    'dimensions_depth_cm': 0,
    'current_location_museum': 'National Archaeological Museum',
    'current_location_gallery': 'Gallery 5',
    'condition': 'intact',
    'estimated_value_usd': 500000,
    'notable_inscriptions': 'None',
    'related_figures': 'Hermes;Aphrodite'
}

# Write to CSV
with open('artifact.csv', 'w', newline='', encoding='utf-8') as csvfile:
    writer = csv.DictWriter(csvfile, fieldnames=headers)
    writer.writeheader()
    writer.writerow(artifact)
